Unnamed: 0,sysEname,time,triggername,is_root
0,SYS_9,2019-06-17 07:17:24,主机node_22 日志产生ERROR信息,0
1,SYS_9,2019-06-17 07:17:26,"主机node_16 空闲CPU为4.0%,持续15分钟小于10%",0
2,SYS_4,2019-06-17 07:17:26,主机node_9 FullGC平均耗时：2118ms（大于阈值：1000ms）,0
3,SYS_8,2019-06-17 07:17:27,主机node_87 Nginx 80端口的连接数大于2000,1
4,SYS_9,2019-06-17 07:17:28,主机node_78 端口80通信异常,0
5,SYS_6,2019-06-17 07:17:28,主机node_25 端口80通信异常,0
6,SYS_7,2019-06-17 07:17:32,主机node_89 硬盘Slot 00状态为Failed,0
7,SYS_7,2019-06-17 07:17:35,主机node_53 网卡流量unknown,0
8,SYS_5,2019-06-17 07:17:36,主机node_85 网卡eth0 接收流量持续10分钟平均值大于300M,0
9,SYS_9,2019-06-17 07:17:36,"主机node_16 空闲CPU为4.0%,持续15分钟小于10%",0
10,SYS_8,2019-06-17 07:17:37,主机node_87 Nginx 80端口的连接数大于2000,1
11,SYS_9,2019-06-17 07:17:38,主机node_78 端口80通信异常,0
12,SYS_1,2019-06-17 07:17:38,主机node_73 日志报错:无法获取连接,0
13,SYS_8,2019-06-17 07:17:42,主机node_79 上I/O等待负载持续15分钟超过10%,0
14,SYS_8,2019-06-17 07:17:45,主机node_84 ping延迟时间持续3分钟大于100ms,0
15,SYS_9,2019-06-17 07:17:46,"主机node_16 空闲CPU为4.0%,持续15分钟小于10%",0
16,SYS_5,2019-06-17 07:17:50,主机node_14 ping延迟时间持续3分钟大于100ms,0
17,SYS_8,2019-06-17 07:17:50,主机node_88 网卡eth0 接收流量持续10分钟平均值大于180M,0
18,SYS_7,2019-06-17 07:17:52,主机node_89 硬盘Slot 00状态为Failed,0
19,SYS_8,2019-06-17 07:17:52,主机node_88 上I/O等待负载大于50%,0
20,SYS_9,2019-06-17 07:17:56,"主机node_16 空闲CPU为4.0%,持续15分钟小于10%",0
21,SYS_5,2019-06-17 07:17:56,主机node_85 网卡eth0 接收流量持续10分钟平均值大于300M,0
22,SYS_3,2019-06-17 07:18:00,主机node_94 ping延迟时间持续3分钟大于100ms,0
23,SYS_2,2019-06-17 07:18:00,主机node_8 日志报错:无法获取连接,0
24,SYS_3,2019-06-17 07:18:00,主机node_86 ping延迟时间持续3分钟大于100ms,0
25,SYS_3,2019-06-17 07:18:00,主机node_39 ping延迟时间持续3分钟大于100ms,0
26,SYS_8,2019-06-17 07:18:05,主机node_84 ping延迟时间持续3分钟大于100ms,0
27,SYS_8,2019-06-17 07:18:05,主机node_10 上I/O等待负载大于50%,0
28,SYS_9,2019-06-17 07:18:06,"主机node_16 空闲CPU为4.0%,持续15分钟小于10%",0
29,SYS_5,2019-06-17 07:18:06,主机node_85 网卡eth0 接收流量持续10分钟平均值大于300M,0
30,SYS_8,2019-06-17 07:18:07,主机node_87 Nginx 80端口的连接数大于2000,1
31,SYS_6,2019-06-17 07:18:08,主机node_25 端口80通信异常,0
32,SYS_1,2019-06-17 07:18:08,主机node_73 日志报错:无法获取连接,0
33,SYS_3,2019-06-17 07:18:10,主机node_86 ping延迟时间持续3分钟大于100ms,0
34,SYS_2,2019-06-17 07:18:10,主机node_8 日志报错:无法获取连接,0
35,SYS_3,2019-06-17 07:18:10,主机node_94 ping延迟时间持续3分钟大于100ms,0
36,SYS_3,2019-06-17 07:18:10,主机node_39 ping延迟时间持续3分钟大于100ms,0
